[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /shirgure
[452 @     statfs()] statfs
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /
[412 @     access()] access /shirgure 2
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[254 @    readdir()] readdir /shirgure
[229 @    getattr()] getattr /
[412 @     access()] access / 1
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /
[412 @     access()] access /shirgure 1
[254 @    readdir()] readdir /shirgure
[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /shirgure
[254 @    readdir()] readdir /shirgure
[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /shirgure/ss.txt
[485 @   __init__()] fileinit ../myfs/shirgure/ss.txt 34881 <class 'tuple'>
[493 @   fgetattr()] fgetattr ../myfs/shirgure/ss.txt
[677 @      flush()] flush
[229 @    getattr()] getattr /shirgure
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[229 @    getattr()] getattr /shirgure
[399 @      utime()] utime
[229 @    getattr()] getattr /shirgure/ss.txt
[412 @     access()] access /shirgure 2
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[229 @    getattr()] getattr /shirgure/.hidden
[412 @     access()] access /shirgure/ss.txt 4
[412 @     access()] access /shirgure/ss.txt 2
[412 @     access()] access /shirgure/ss.txt 1
[412 @     access()] access /shirgure 2
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[412 @     access()] access /shirgure/ss.txt 4
[412 @     access()] access /shirgure/ss.txt 2
[412 @     access()] access /shirgure/ss.txt 1
[229 @    getattr()] getattr /shirgure/ss.txt
[485 @   __init__()] fileinit ../myfs/shirgure/ss.txt 32769 <class 'tuple'>
[314 @   truncate()] truncate /shirgure/ss.txt 0
[331 @   truncate()] truncate done
[229 @    getattr()] getattr /shirgure/ss.txt
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[604 @      write()] write ../myfs/shirgure/ss.txt abc
 0
[515 @      get_v()] get_v ../myfs/shirgure/ss.txt
[530 @      get_v()] get_v ../myfs/shirgure/ss.txt 1 0
[616 @      write()] here 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 1
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
